,title,overview,vote_average,processed_overview
10,Real,"koichi and atsumi are lovers who have known each other all their lives. a year ago, however, a suicide attempt by atsumi left her in a coma. through 'sensing', a type of neurosurgical procedure allowing contact with the intentional aspect of a comatose patient's mind, koishi tries to find out why atsumi tried to kill herself, and to bring her back to consciousness. he enters her subconscious, and is told to find a picture of a plesiosaur she drew when she was a child. it turns out that a childhood incident buried in their past will bring their minds together.",5.8,"koichi atsumi lover known life . year ago , however , suicide attempt atsumi left coma . 'sensing ' , type neurosurgical procedure allowing contact intentional aspect comatose patient 's mind , koishi try find atsumi tried kill , bring back consciousness . enters subconscious , told find picture plesiosaur drew child . turn childhood incident buried past bring mind together ."
11,American Sharia,"fast paced, action packed comedy. tension flares in the motor city as officer richardson profiles every muslim he sees as a terrorist. he goes on an arrest frenzy, which makes the community activists, jihad and osama take to the streets and rally the people to stand up for their rights. the chief of police wants to gain the trust of the muslim community in order to get re-elected, but attorney leila rodriguez is standing in the way with a discrimination law suit against officer richardson and the motor city police department. the chief calls on his most unreliable detective, mohammed and partners him with a middle eastern, sharia law fanatic, detective abdul. the chief wants them to ""speak muslim to the muslims"" which he thinks will guarantee his re-election.  - written by omar regan",10.0,"fast paced , action packed comedy . tension flare motor city officer richardson profile every muslim see terrorist . go arrest frenzy , make community activist , jihad osama take street rally people stand right . chief police want gain trust muslim community order get re-elected , attorney leila rodriguez standing way discrimination law suit officer richardson motor city police department . chief call unreliable detective , mohammed partner middle eastern , sharia law fanatic , detective abdul . chief want `` speak muslim muslim '' think guarantee re-election . - written omar regan"
12,Beck 27 - Rum 302,"the body of a young woman is found in a stockholm hotel room. it appears that she has been strangled after a night partying with two young men, but the room was paid for using the credit card of a mugging victim whose alibi doesn't add up. martin and gunvald investigate under the supervision of their new boss klas freden.",6.4,"body young woman found stockholm hotel room . appears strangled night partying two young men , room paid using credit card mugging victim whose alibi n't add . martin gunvald investigate supervision new bos klas freden ."
13,Love Comes Lately,"though approaching his eighties, max kohn shows no signs of slowing down. he pursues his love life - both real and imagined - with youthful vigor, thereby risking his relationship to reisel, the woman he loves but neglects. love comes lately is a film about real and imagined longings, the never ending dream of love and the power of fiction.",5.5,"though approaching eighty , max kohn show sign slowing . pursues love life - real imagined - youthful vigor , thereby risking relationship reisel , woman love neglect . love come lately film real imagined longing , never ending dream love power fiction ."
14,The Windmill Massacre,"jennifer, an australian girl on the run from her past, turns up in amsterdam and, in a desperate attempt to blend in, joins a coach-load of tourists on a tour of holland's old windmills. when the bus breaks down in the middle of nowhere, she and the other tourists are forced to seek shelter in a disused shed beside a sinister windmill where a devil-worshiping miller once ground the bones of locals instead of grain. as members of the group start to disappear, jennifer learns that they all have something in common – a shared secret that seems to mark them all for doom.",5.0,"jennifer , australian girl run past , turn amsterdam , desperate attempt blend , join coach-load tourist tour holland 's old windmill . bus break middle nowhere , tourist forced seek shelter disused shed beside sinister windmill devil-worshiping miller ground bone local instead grain . member group start disappear , jennifer learns something common – shared secret seems mark doom ."
15,Man Without a Star,man without a star is a 1955 western film starring kirk douglas as a wanderer who gets dragged into a range war. it was based on the novel of the same name by dee linford.,6.4,man without star 1955 western film starring kirk douglas wanderer get dragged range war . based novel name dee linford .
16,The Winter War,russia attacked finland in late november 1939. this film tells the story of a finnish platoon of reservists from the municipality of kauhava in the province of pohjanmaa/ostrobothnia who leave their homes and go to war. the film focuses on the farmer brothers martti and paavo hakala.,7.2,russia attacked finland late november 1939. film tell story finnish platoon reservist municipality kauhava province pohjanmaa/ostrobothnia leave home go war . film focus farmer brother martti paavo hakala .
17,The Drop Box,"one winter, a pastor finds an abandoned infant on his church steps, and builds 'a drop box' to rescue any future foundlings.",6.2,"one winter , pastor find abandoned infant church step , build ' drop box ' rescue future foundling ."
18,A Grande Família: O Filme,"for forty years, the public functionary and family man lineu and his beloved wife nenê celebrate their first date going to the same ball where lineu borrowed the jacket his competitor carlinhos. in the present days, lineu feels uncomfortable when his colleague pacheco dies and goes to the doctor for health examination. when the result of his tomography arrives, his doctor says that he had seen some blur in his lungs and with that report he would give the correct diagnosis. lineu steals the document afraid of having a tumor, but he believes he will die sooner. meanwhile, nenê meets carlinhos in the supermarket where he is the manager and invites him to have dinner with her family. lineu hides his concerns to nenê, and his attitudes in the dinner misguide nenê, and she believes lineu has a lover and does not love him anymore",5.5,"forty year , public functionary family man lineu beloved wife nenê celebrate first date going ball lineu borrowed jacket competitor carlinhos . present day , lineu feel uncomfortable colleague pacheco dy go doctor health examination . result tomography arrives , doctor say seen blur lung report would give correct diagnosis . lineu steal document afraid tumor , belief die sooner . meanwhile , nenê meet carlinhos supermarket manager invite dinner family . lineu hide concern nenê , attitude dinner misguide nenê , belief lineu lover love anymore"
19,Gourmet Club,"""gourmet club"" follows a doctor who belongs to a small but exclusive gourmet club, in which the five upper-class members take turns providing the main course, wagering as to who can identify a mystery exotic ingredient. things get interesting when the doctor's gambling problem catches up with him. desperate, he comes up with the idea to use a truly shocking mystery ingredient to fool his colleagues, but he gets more than he bargained for when the mystery meal has a surprising and powerful effect on the members.",4.8,"`` gourmet club '' follows doctor belongs small exclusive gourmet club , five upper-class member take turn providing main course , wagering identify mystery exotic ingredient . thing get interesting doctor 's gambling problem catch . desperate , come idea use truly shocking mystery ingredient fool colleague , get bargained mystery meal surprising powerful effect member ."
20,California Conquest,"the period is the 1840's and california is part of mexico. many of the citizens wish to become part of the united states. other countries are also interested and the russians have established bases in the northern part of the state. to further their hold they have stolen guns and don arturo bordega, a leader of those wanting statehood, is out to recover them.",0.0,"period 1840 's california part mexico . many citizen wish become part united state . country also interested russian established base northern part state . hold stolen gun arturo bordega , leader wanting statehood , recover ."
21,Fetishes,"nick broomfield and a documentary crew visit pandora's box, an up-scale house of bondage on manhattan's fifth avenue, where clients pay $175 an hour to be subservient to mistresses. mistresses talk about their craft; a few clients, usually masked, are interviewed as well. then, the camera watches sessions organized around fetishes: rubber, wrestling, corporal punishment, masochism, and infantilism. mistress raven, the owner of pandora's box, explains that pain need not be part of the subservient experience: it is, at its root, a transfer of power. after their session has ended, clients talk about how drained, relaxed, relieved, and at peace they are.",5.1,"nick broomfield documentary crew visit pandora 's box , up-scale house bondage manhattan 's fifth avenue , client pay $ 175 hour subservient mistress . mistress talk craft ; client , usually masked , interviewed well . , camera watch session organized around fetish : rubber , wrestling , corporal punishment , masochism , infantilism . mistress raven , owner pandora 's box , explains pain need part subservient experience : , root , transfer power . session ended , client talk drained , relaxed , relieved , peace ."
22,Westbound,"as the civil war spills our nation’s blood, capt. john hayes (randolph scott) fights on a vital but little-known battlefront. he aims to ship gold to union banks through a small colorado town, defying southern sympathizers who aim to stop him. at any cost. as chiseled and bone-lean as its star, westbound is the sixth of seven westerns scott made with director budd boetticher, films that – along with the james stewart-anthony mann westerns – helped remake the genre in the 50s, substituting grit and veracity for white-hat heroics.",4.8,"civil war spill nation ’ blood , capt . john hayes ( randolph scott ) fight vital little-known battlefront . aim ship gold union bank small colorado town , defying southern sympathizer aim stop . cost . chiseled bone-lean star , westbound sixth seven western scott made director budd boetticher , film – along james stewart-anthony mann western – helped remake genre 50 , substituting grit veracity white-hat heroic ."
23,About Alex,"a circle of twenty-something friends reunite for a weekend away to console a suicidal member of their group. yet, despite their best efforts to enjoy themselves, a tinderbox of old jealousies, unrequited love, and widening political differences leads to an explosion of drama that, coupled with the flammable combination of drugs, wine, and risotto, cannot be contained. a big chill for our current social media moment, about alex is a lighthearted look at the struggles of a generation that has it all—and wants more.",6.3,"circle twenty-something friend reunite weekend away console suicidal member group . yet , despite best effort enjoy , tinderbox old jealousy , unrequited love , widening political difference lead explosion drama , coupled flammable combination drug , wine , risotto , contained . big chill current social medium moment , alex lighthearted look struggle generation all—and want ."
24,Double Vision,an fbi agent pairs with a troubled taiwan cop to hunt for a serial killer who's embedding a mysterious fungus in the brains of victims.,6.2,fbi agent pair troubled taiwan cop hunt serial killer 's embedding mysterious fungus brain victim .
25,Akkare Akkare Akkare,"after nadodikkattu (1987) and pattana pravesham (1988), cids ramdas and vijayan are back for another wacky adventure. after a priceless gold crown is stolen from india, ramdas (mohanlal) and vijayan (srinivasan) are sent to the united states to retrieve it. the only clues they have is a pseudonym (""paul barber"") and a piece of a torn shirt. in the states, the two remain as helpless and clueless as they were in the two prequel films and realize that this is their toughest case yet. while akkare akkare akkare is lacking in the poignant drama that made its predecessor films so endearing, it makes up for it by being the funniest movie in the trilogy. a malayalam comedy classic that is still remembered more than 15 years after its release.",7.3,"nadodikkattu ( 1987 ) pattana pravesham ( 1988 ) , cid ramdas vijayan back another wacky adventure . priceless gold crown stolen india , ramdas ( mohanlal ) vijayan ( srinivasan ) sent united state retrieve . clue pseudonym ( `` paul barber '' ) piece torn shirt . state , two remain helpless clueless two prequel film realize toughest case yet . akkare akkare akkare lacking poignant drama made predecessor film endearing , make funniest movie trilogy . malayalam comedy classic still remembered 15 year release ."
26,Clerks - The Flying Car,"video short from kevin smith.  dante and randal are back and trapped in dante's car during a very bad traffic jam while talking about a ""flying car"" from the jetsons.",6.9,video short kevin smith . dante randal back trapped dante 's car bad traffic jam talking `` flying car '' jetsons .
27,The Bothersome Man,"forty-year-old andreas arrives in a strange city with no memory of how he got there. he is presented with a job, an apartment - even a wife. but before long, andreas notices that something is wrong. andreas makes an attempt to escape the city, but he discovers there's no way out. andreas meets hugo, who has found a crack in a wall in his cellar. beautiful music streams out from the crack. maybe it leads to ""the other side""? a new plan for escape is hatched.",6.9,"forty-year-old andreas arrives strange city memory got . presented job , apartment - even wife . long , andreas notice something wrong . andreas make attempt escape city , discovers 's way . andreas meet hugo , found crack wall cellar . beautiful music stream crack . maybe lead `` side '' ? new plan escape hatched ."
28,"Fuse, Memoirs of the Hunter Girl","in kyokutei bakin's classic japanese epic novel nansou satomi hakkenden, eight samurai serve the satomi clan during japan's tumultuous sengoku (warring states) era. the edo-era samurai are the reincarnations of the spirits that princess fuse mothered with a dog named yatsufusa. in fuse gansaku: satomi hakkenden, the female hunter hamaji comes to her brother in order to hunt fuse. thus, the karmic cycle of retribution that began long ago with the satomi family begins anew.  fuse were hybrid creatures of humans and dogs in the edo period. as there were rumors saying that they killed humans and ate their souls, the shogun government offered high bounty for hunting them.  hamaji was a young female huntress living in the rural part of mutsu while her brother dousetsu was living in edo. the story began as hamaji went to edo in order to help his brother to earn some bounty. but in edo, she met a mysterious young men being chased by others. his name was shino ...",8.8,"kyokutei bakin 's classic japanese epic novel nansou satomi hakkenden , eight samurai serve satomi clan japan 's tumultuous sengoku ( warring state ) era . edo-era samurai reincarnation spirit princess fuse mothered dog named yatsufusa . fuse gansaku : satomi hakkenden , female hunter hamaji come brother order hunt fuse . thus , karmic cycle retribution began long ago satomi family begin anew . fuse hybrid creature human dog edo period . rumor saying killed human ate soul , shogun government offered high bounty hunting . hamaji young female huntress living rural part mutsu brother dousetsu living edo . story began hamaji went edo order help brother earn bounty . edo , met mysterious young men chased others . name shino ..."
29,The Vanishing Legion,"a mysterious master criminal known as the voice plots with his gang to sabotage the milesburg oil company, but the rightful heir has a secret army of her own to protect her rights.",0.0,"mysterious master criminal known voice plot gang sabotage milesburg oil company , rightful heir secret army protect right ."
30,The Private Lives of Pippa Lee,"the life you love may be your own.... the wife of a much older man finds herself attracted to their neighbour's son, who is closer to her age.",6.0,"life love may .... wife much older man find attracted neighbour 's son , closer age ."
31,She Wouldn't Say Yes,"susan lane is a gifted psychiatrist, grounded in self-control. before returning by train to her practice in chicago, she spends time back east with war veterans, building their self-esteem, but frowning on the impulsive, as represented by a favorite comic strip called ""the nixie."" she bumps into michael kent, an officer and the comic strip's author. he likes her instantly and she dislikes him. he's headed to the pacific, sees her on the train, gets off in chicago, and with her father's help, pursues her and hatches a plan to marry her. meanwhile, she has her own plan to get rid of him with the help of a blond patient. will the nixie get into her psyche?",4.9,"susan lane gifted psychiatrist , grounded self-control . returning train practice chicago , spends time back east war veteran , building self-esteem , frowning impulsive , represented favorite comic strip called `` nixie . '' bump michael kent , officer comic strip 's author . like instantly dislike . 's headed pacific , see train , get chicago , father 's help , pursues hatch plan marry . meanwhile , plan get rid help blond patient . nixie get psyche ?"
32,House of D,"an american artist living a bohemian existence in paris, tom warshaw (david duchovny) is trying to make sense of his troubled adult life by reflecting upon his extraordinary childhood.",6.2,"american artist living bohemian existence paris , tom warshaw ( david duchovny ) trying make sense troubled adult life reflecting upon extraordinary childhood ."
33,Lovely & Amazing,self-esteem and insecurity are at the heart of this comedy about the relationship between a mother and her three confused daughters.,6.3,self-esteem insecurity heart comedy relationship mother three confused daughter .
34,Love for Sale,"this sexy comedy proves that sometimes too much of a good thing can be the worst thing for you. trey (jackie long, atl) is a young deliveryman who can't seem to catch a break. his whole life is a shambles - no money for college and no game to attract the ladies. after a failed attempt to get together with the girl of his dreams (singer mya, shall we dance), trey gets caught up by a seductive older woman (melyssa ford, three can play that game) who pays for his ""personal delivery services."" he's having the time of his life - at first, but this deceptively ideal situation soon sends his life spinning out of control!",5.7,"sexy comedy prof sometimes much good thing worst thing . trey ( jackie long , atl ) young deliveryman ca n't seem catch break . whole life shamble - money college game attract lady . failed attempt get together girl dream ( singer mya , shall dance ) , trey get caught seductive older woman ( melyssa ford , three play game ) pay `` personal delivery service . '' 's time life - first , deceptively ideal situation soon sends life spinning control !"
35,"Cornbread, Earl and Me","the unintentional shooting by police of a star basketball player has profound personal, political and community repercussions in this acclaimed adaptation of the novel hog butcher by ronald fair. this was one of the more thoughtful urban dramas produced at the height of the ""blaxploitation"" craze. also released under the title hit the open man, it features the screen debut of laurence fishburne, who was barely a teenager at the time.",0.0,"unintentional shooting police star basketball player profound personal , political community repercussion acclaimed adaptation novel hog butcher ronald fair . one thoughtful urban drama produced height `` blaxploitation '' craze . also released title hit open man , feature screen debut laurence fishburne , barely teenager time ."
36,Snowball Express,"when john baxter inherits a ski resort in the rocky mountains, he quits his job in new york and moves the family west to run it. only to find that the place is a wreck. but together they decide to try to fix it up and run it. but martin ridgeway, who wants the property, does everything he can to ensure it will fail.",6.3,"john baxter inherits ski resort rocky mountain , quits job new york move family west run . find place wreck . together decide try fix run . martin ridgeway , want property , everything ensure fail ."
37,"Whiffles, Cubic Artist","after visiting the first cubist exposition in paris, rigadin (charles prince) is struck by his discovery: a egg is a rhombus, the earth a cube! unfortunately, he is engaged to miss rondebosse (gabrielle lange), whose father is head of the tradition...",0.0,"visiting first cubist exposition paris , rigadin ( charles prince ) struck discovery : egg rhombus , earth cube ! unfortunately , engaged miss rondebosse ( gabrielle lange ) , whose father head tradition ..."
38,Naked Gun,"don pablo salazar steals a fortune in jewels from an indian tribe and an aztec medicine man puts a curse on the jewels until they are returned. years later, an american insurance man promises to deliver the salazar fortune to the rightful heir...",3.3,"pablo salazar steal fortune jewel indian tribe aztec medicine man put curse jewel returned . year later , american insurance man promise deliver salazar fortune rightful heir ..."
39,In the Heart of the Sea,"in the winter of 1820, the new england whaling ship essex was assaulted by something no one could believe: a whale of mammoth size and will, and an almost human sense of vengeance.  the real-life maritime disaster would inspire herman melville’s moby dick.  but that told only half the story.  “heart of the sea” reveals the encounter’s harrowing aftermath, as the ship’s surviving crew is pushed to their limits and forced to do the unthinkable to stay alive.  braving storms, starvation, panic and despair, the men will call into question their deepest beliefs, from the value of their lives to the morality of their trade, as their captain searches for direction on the open sea and his first mate still seeks to bring the great whale down.",6.5,"winter 1820 , new england whaling ship essex assaulted something one could believe : whale mammoth size , almost human sense vengeance . real-life maritime disaster would inspire herman melville ’ moby dick . told half story . “ heart sea ” reveals encounter ’ harrowing aftermath , ship ’ surviving crew pushed limit forced unthinkable stay alive . braving storm , starvation , panic despair , men call question deepest belief , value life morality trade , captain search direction open sea first mate still seek bring great whale ."
40,Shoot the Moon,"after fifteen years of marriage, an affluent couple divorce and take up with new partners.",5.7,"fifteen year marriage , affluent couple divorce take new partner ."
41,Swiss Miss,"stan and ollie are mousetrap salesmen hoping for better business in switzerland, with stan's theory that because there is more cheese in switzerland, there should be more mice.",6.1,"stan ollie mousetrap salesman hoping better business switzerland , stan 's theory cheese switzerland , mouse ."
42,The Chicago 8,based on actual court transcripts of 8 anti-war protesters on trial for conspiring to cause riots at the 1968 democratic national convention in chicago.,5.0,based actual court transcript 8 anti-war protester trial conspiring cause riot 1968 democratic national convention chicago .
43,What Richard Did,what richard did is a striking portrait of the fall of a dublin golden-boy and high school rugby star whose world unravels one summer night.,5.5,richard striking portrait fall dublin golden-boy high school rugby star whose world unravels one summer night .
44,Smoke and Flesh,"turk, a ""cool swinger"", throws and wild sex and drugs party, but has trouble when three hoodlum friends of his crash the party and turk resorts to drastic measures to remove them from the festivities.",2.0,"turk , `` cool swinger '' , throw wild sex drug party , trouble three hoodlum friend crash party turk resort drastic measure remove festivity ."
45,Room at the Top,"in late 1940s yorkshire, england, ambitious young man joe lampton (laurence harvey), who has just moved from the dreary factory town of dufton, arrives in warnley, to assume a secure, but poorly-paid, post in the borough treasurer's department. determined to succeed, and ignoring the warnings of a colleague, soames (donald houston), he is drawn to susan brown (heather sears), daughter of the local industrial magnate, mr. brown (donald wolfit). he deals with joe's social climbing by sending susan abroad; joe turns for solace to alice aisgill (simone signoret), an unhappily married older woman who falls in love with him.",6.0,"late 1940s yorkshire , england , ambitious young man joe lampton ( laurence harvey ) , moved dreary factory town dufton , arrives warnley , assume secure , poorly-paid , post borough treasurer 's department . determined succeed , ignoring warning colleague , soames ( donald houston ) , drawn susan brown ( heather sears ) , daughter local industrial magnate , mr. brown ( donald wolfit ) . deal joe 's social climbing sending susan abroad ; joe turn solace alice aisgill ( simone signoret ) , unhappily married older woman fall love ."
46,The Keeping Room,"in this radically reimagined american western set towards the end of the civil war, southerner augusta encounters two renegade, drunken soldiers who are on a mission of pillage and violence. after escaping an attempted assault, augusta races back to the isolated farmhouse that she shares with her sister louise and their female slave mad. when the pair of soldiers track augusta down intent on exacting revenge, the trio of women are forced to take up arms to fend off their assailants, finding ways to resourcefully defend their home––and themselves––as the escalating attacks become more unpredictable and relentless.",5.2,"radically reimagined american western set towards end civil war , southerner augusta encounter two renegade , drunken soldier mission pillage violence . escaping attempted assault , augusta race back isolated farmhouse share sister louise female slave mad . pair soldier track augusta intent exacting revenge , trio woman forced take arm fend assailant , finding way resourcefully defend home––and themselves––as escalating attack become unpredictable relentless ."
47,The Unseeable,"set in 1934 siam, the story involves a young pregnant woman named nualjin who's searching for her missing husband. she comes to stay in the spooky rural mansion of a widow, runjuan.",6.8,"set 1934 siam , story involves young pregnant woman named nualjin 's searching missing husband . come stay spooky rural mansion widow , runjuan ."
48,The Slams,rival prison factions surround a los angeles convict (jim brown) who has $1.5 million stashed on the outside.,0.0,rival prison faction surround los angeles convict ( jim brown ) $ 1.5 million stashed outside .
49,The Listening Project,"dominic howes and joel weber's intellectual trek through 14 countries attempts to uncover answers to the question, ""what does the world think of the united states of america?"" individuals from all walks of life and myriad cultures freely express their stark opinions -- both complimentary and condemning -- of a nation that may not be loved by all, but leaves few lives untouched.",4.0,"dominic howe joel weber 's intellectual trek 14 country attempt uncover answer question , `` world think united state america ? '' individual walk life myriad culture freely express stark opinion -- complimentary condemning -- nation may loved , leaf life untouched ."
50,Small Wonders,"a dedicated music teacher in east harlem instructs a gaggle of underprivileged children in the art of the violin. in the climax, they play carnegie hall with some of the world's foremost fiddlers.",0.0,"dedicated music teacher east harlem instructs gaggle underprivileged child art violin . climax , play carnegie hall world 's foremost fiddler ."
51,The Shaman,"in the dark year 2204, the world has seen 73 years of continuous war. the face of conflict has changed. people kill people but they now rely on giant, intelligent battle machines to fight. mankind has re-discovered shamanism and the generals on both sides use these well-trained spiritual warriors to face the threat of machines.",7.3,"dark year 2204 , world seen 73 year continuous war . face conflict changed . people kill people rely giant , intelligent battle machine fight . mankind re-discovered shamanism general side use well-trained spiritual warrior face threat machine ."
52,Carver,based on true events,4.2,based true event
53,The Burrowers,"it is 1879 in the dakota territories, a band of men who set out to find and recover a family of settlers that has mysteriously vanished from their home. expecting the offenders to be a band of fierce natives, but they soon discover that the real enemy stalks them from below.",5.4,"1879 dakota territory , band men set find recover family settler mysteriously vanished home . expecting offender band fierce native , soon discover real enemy stalk ."
54,I'm the One You Want,what would you say about a female teacher falling in love with a 15-year-old? what would you think when you heard her confession? how do you set borders for someone's love and feelings?,7.5,would say female teacher falling love 15-year-old ? would think heard confession ? set border someone 's love feeling ?
55,Mulholland Drive,"after a car wreck on the winding mulholland drive renders a woman amnesic, she and a perky hollywood-hopeful search for clues and answers across los angeles in a twisting venture beyond dreams and reality.",7.7,"car wreck winding mulholland drive render woman amnesic , perky hollywood-hopeful search clue answer across los angeles twisting venture beyond dream reality ."
56,Rick and Morty: State of Georgia Vs. Denver Fenton Allen,"a faithful, word-for-word recreation of one colorful day in the american court system.",8.7,"faithful , word-for-word recreation one colorful day american court system ."
57,Midnight Clear,"on christmas eve in the arizona desert, a middle-aged man (stephen baldwin) and an old woman (k callan) contemplate suicide. but through chance run-ins with strangers and perhaps some divine intervention, they cross paths and change each other's life forever.",0.0,"christmas eve arizona desert , middle-aged man ( stephen baldwin ) old woman ( k callan ) contemplate suicide . chance run-in stranger perhaps divine intervention , cross path change 's life forever ."
58,Wild Orchids,"a prince in java tries to seduce his visitor's wife, but he's discovered.",6.7,"prince java try seduce visitor 's wife , 's discovered ."
59,The Bandit,"the epic adventures of the legendary baran the bandit following his release from prison. after serving 35 years, it is no surprise that the world has changed dramatically. still, baran can't help but be shocked to discover that his home village is now underwater thanks to the construction of a new dam. he then heads for istanbul to get revenge upon his former best friend, the man who snitched on him and stole his lover keje. along the way, baran teams up with cumali, a tough young punk who finds the thief's old-fashioned ways rather quaint. when cumali gets into deep trouble with a crime boss, baran adds another vengeful task to his roster.",7.5,"epic adventure legendary baran bandit following release prison . serving 35 year , surprise world changed dramatically . still , baran ca n't help shocked discover home village underwater thanks construction new dam . head istanbul get revenge upon former best friend , man snitched stole lover keje . along way , baran team cumali , tough young punk find thief 's old-fashioned way rather quaint . cumali get deep trouble crime bos , baran add another vengeful task roster ."
60,The Brothers Lionheart,"9-year old karl lejon, 'skorpan' is suffering from tuberculosis and knows that he will die soon. but his older brother jonathan tries to comfort him by promising that they one day will meet in nangijala, a magic country beyond the stars. jonathan dies soon after in a house fire and skorpan also passes away not long after. they meet in nangijala, a country divided into the cherry blossom valley and the briar-bush valley. the people in the later are oppressed by the black knight tengil and his dragon katla. the two brothers, who now call themselves jonathan and karl lion heart, decide to help the freedom fighters against the oppression.",6.9,"9-year old karl lejon , 'skorpan ' suffering tuberculosis know die soon . older brother jonathan try comfort promising one day meet nangijala , magic country beyond star . jonathan dy soon house fire skorpan also pass away long . meet nangijala , country divided cherry blossom valley briar-bush valley . people later oppressed black knight tengil dragon katla . two brother , call jonathan karl lion heart , decide help freedom fighter oppression ."
61,Waterloo Bridge,"on the eve of world war ii, a british officer revisits waterloo bridge and recalls the young man he was at the beginning of world war i and the young ballerina he met just before he left for the front. myra stayed with him past curfew and is thrown out of the corps de ballet. she survives on the streets of london, falling even lower after she hears her true love has been killed in action. but he wasn't killed. those terrible years were nothing more than a bad dream is myra's hope after roy finds her and takes her to his family's country estate.",8.0,"eve world war ii , british officer revisits waterloo bridge recall young man beginning world war young ballerina met left front . myra stayed past curfew thrown corp de ballet . survives street london , falling even lower hears true love killed action . n't killed . terrible year nothing bad dream myra 's hope roy find take family 's country estate ."
62,Divorce American Style,"after 17 years of marriage in american suburbia, richard and barbara harmon step into the new world of divorce.",5.4,"17 year marriage american suburbia , richard barbara harmon step new world divorce ."
63,A Paralyzing Fear: The Story of Polio in America,this is a very clear and personalized presentation of the history and human impact of a seriously debilitating disease - one which we in the western world are too often tempted to think of in the past tense.,0.0,clear personalized presentation history human impact seriously debilitating disease - one western world often tempted think past tense .
